id,date,description,min_qual,pref_qual,functions,responsibilities
1,10/11/2010,"The E-Research and Digital Scholarship Services Unit is being formed within the Collection Development Department to capitalize on digital services offered locally and throughout the UC system to assist in the research, publication, and teaching missions of the University. The Unit will perform outreach, advertise, educate, and collaborate with faculty and researchers directly, and through the assistance and education of subject liaisons across all library departments.",,,"Outreach, Collection Development, Digital Research Coordination, Support, and Outreach","Plays a central role in developing digital collections and services for the newly renovated Research Library and other campus libraries. Cultivates print collections in the Research Library that sustain digital tools, collections, and services for humanities and social sciences research. Promotes use of existing digital collections and scholarly tools at UCLA. Works closely with Digital Humanities and Social Sciences faculty and students in supporting their e-research and teaching needs, and in developing new research projects. Acts as key liaison for the new Digital Cultural Mapping minor at UCLA. Keeps abreast of new modes of research in the Humanities and Social Sciences. Provides demonstrations of currently mature Digital Humanities resources to interested faculty, staff, librarians, the research community, and library supporters. Links to major digital projects at UCLA are available at www.idre.ucla.edu/hasis/research/default.htm. Works closely with the AUL for Digital Initiatives and Information Technology, the Digital Library Program, Digital Collections Services, and other library partners in providing innovative and emerging new technologies for faculty and student use in the Research Library Research Commons, Digital Sandbox, Laboratory for Digital Cultural Heritage, and other library locations. Links faculty and students with librarians and technologists in supporting digital scholarship, developing new research projects, and engaging in fundraising to support those activities. Provides vision and strategic leadership as well as coordination of services for the Research Library Research Commons and digital lab space. Works closely with others throughout the UCLA Library system to develop robust digital collections, services, and programs for our faculty and students in data visualizationGIS, maps, statistics, and multimedia. Coordinates with maps specialists and the project manager on the Historical Maps Digitization Project in CRIS. Works closely with the Digital Library Program, Library IT, Library Preservation, and other specialists to meet collection development, data storage, preservation, stewardship, and access challenges related to digital content creation and knowledge management. Develops additional capacity among the librarians and staff to support work in digital scholarship through instruction, training, demonstrations, lectures, and workshops. Partners with other campus stakeholders, such as the Center for Digital Humanities, the Institute for Digital Research and Education-Humanities, Arts, Social and Information Sciences (IDRE-HASIS), the Institute for Social Research, Academic Technology Services, and various research centers to develop robust digital scholarship programs at UCLA and to position the library as central to those programs. Works closely with members of Access Services, CRIS, the East Asian Library, the Arts and Music Libraries, and other library stakeholders in developing and implementing a robust and innovative new public services package to support digital scholarship activities in the Research Library. Serves as the Research Librarys point person for digital scholarship. Partners with other leading libraries nationally and internationally in developing new digital scholarship initiatives and programs. Develops a national reputation for the UCLA Library in these areas. Develops and manages print and electronic collections for a humanities or social sciences subject area. Acts as liaison to campus departments and/or programs related to collecting subject area. Participates actively in scholarly communication instruction, projects, and outreach at UCLA and more broadly."
2,12/14/2010,,"Bachelor's degree in an Information Technology field, such as Library and Information Science or Computer Science, and two years of experience working in a related field; knowledge of or experience with one or more of the following technologies: XML, XML Schema, XSLT, Dynamic HTML; experience in a library setting working with metadata encoded in one or more of the following schemas: MARC, MODS, METS, EAD, TEI, Dublin Core; experience with common digital image formats such as JPEG, JPEG 2000, TIFF, PNG, and GIF; experience writing and implementing Web scripts such as Perl, PHP, ASP, Ruby, Python, or VB Script; the ability to work independently as well as collaboratively in a team environment; excellent organizational skills and a demonstrable ability to manage multiple priorities; the ability to remain conversant with newly evolving technologies; effective oral and written communication skills. ","Master's degree in Computer Science or Library and Information Science or related information technology field; background or degree in a humanities discipline; knowledge of relational database design principles and SQL; experience with newspaper digitization or other humanities digitization program; experience writing web applications using CSS, XSLT or JavaScript; ability to program interactive, database-driven web applications; experience in a library IT unit or working with library-specific applications; experience in planning and implementing programs or services; experience working with digital conversion vendors; knowledge of or experience with digital preservation strategies; experience in writing grant proposals.",,"The University of Illinois Library conducts a variety of activities in support of digital humanities scholarship, including creation, delivery, curation and preservation of a wide variety of types of digital assets and tools.  Reporting to the Technical Architect for Repositories and Scholarly Communication, the Digital Humanities Specialist will assist with the planning, implementation and ongoing production of these digital collections and scholarly initiatives, with particular emphasis on project design, digitization workflows, and content and delivery systems.  The successful candidate will work across a number of humanities and Special Collections units and will be part of a team of IT personnel that develops and delivers repository and scholarly communication services.  Examples of ongoing projects include a robust newspaper digitization program and a ""triple-decker"" nineteenth-century American novel digital conversion project, utilizing content management systems such as Olive, Archon, CONTENTdm, and locally developed databases.  In addition, the successful candidate will contribute to the work of the Scholarly Commons in helping to articulate the relationship between new technologies and humanities scholarship to the community of humanists; in advising teaching faculty on the creation of digital objects and providing technical support for use of analytical tools; and in serving as an agent between content providers and the Library's repository.  This position is expected to evolve in tandem with the Library's strategic goals and to experiment with new ways of supporting and enhancing the teaching, research and service missions of the University.  The scope and responsibilities will shift in accordance with priorities established by the AUL for Information Technology Planning and Policy in consultation with IT staff and digital humanities stakeholders. As an Academic Professional employee, the Digital Humanities Specialist is expected to use ""investigation time"" to pursue areas of his or her interest, not directly in support of an immediate program need, in accordance with the University Library's policy on Investigation Time for Academic Professional Employees.  Some investigations that originate in this manner may evolve into regular work assignments or production activities."
3,2/14/2011,,"Master in Library Science and/ or an Advanced degree in a Humanities discipline/PhD preferred. 2-3 year's related professional experience required Deep understanding of the research process and knowledge of the ways that new technologies are affecting the production of scholarship in the humanities Demonstrated facility with current technologies commonly used in digital humanities projects (such as database design and programming, web services, XML technologies, corpus linguistics etc.) and software (Zotero, Omeka, etc.) Knowledge of and ability to teach scholarly communications issues (for example copyright, author's rights, open access, repositories) Broad knowledge of available print and online resources in one or more humanities disciplines Demonstrated ability in instruction and making presentations. Demonstrated ability in one or more foreign languages (Spanish, Portuguese, French, German, Italian, or Classical languages) Prefer knowledge of and experience with digital curation",,,"This is not really a programmer position, but should have quite a bit of overlap with the c4l world. Please pass it along to anyone who might be interested. As the Library's primary liaison to academic departments in the humanities, the Digital Humanities Librarian plays a central role in the integration of digital resources and methodologies with traditional resources and approaches into the research, teaching, and learning missions at Brown University. Together with other Scholarly Resources Librarians, the Center for Digital Scholarship and relevant library and campus partners, s/he will work to increase the understanding and application of digital scholarship among the institution's faculty and students. S/he is expected to introduce and keep abreast of digital methodologies and to use such tools and skills in the solution of humanities research problems. The successful candidate will contribute to the work of the Brown Digital Repository by helping to articulate the relationship between new technologies and humanities scholarship to the community of humanists; by advising teaching faculty on the creation of digital objects and providing technical support for use of analytical tools; and in serving as an agent between content providers and the Library's repository. S/he will maintain a strong level of competence in scholarly communications issues such as new forms of publication, copyright, open access, repositories, data curation, and licensing of online resources. S/he will also use his/her knowledge of available print and electronic resources to build appropriate collections in general collections and related Special Collections and to advocate for the fields to which he/she is assigned."
4,6/23/2011,,"Bachelor's degree in an Information Technology field, such as Library and Information Science or Computer Science, and two years of experience working in a related field; knowledge of or experience with one or more of the following technologies: XML, XML Schema, XSLT, Dynamic HTML; experience in a library setting working with metadata encoded in one or more of the following schemas: MARC, MODS, METS, EAD, TEI, Dublin Core; experience with common digital image formats such as JPEG, JPEG 2000, TIFF, PNG, and GIF; experience writing and implementing Web scripts such as Perl, PHP, ASP, Ruby, Python, or VB Script; the ability to work independently as well as collaboratively in a team environment; excellent organizational skills and a demonstrable ability to manage multiple priorities; the ability to remain conversant with newly evolving technologies; effective oral and written communication skills.","Master's degree in Computer Science or Library and Information Science or related information technology field; background or degree in a humanities discipline; knowledge of relational database design principles and SQL; experience with newspaper digitization or other humanities digitization program; experience writing web applications using CSS, XSLT or JavaScript; ability to program interactive, database-driven web applications; experience in a library IT unit or working with library-specific applications; experience in planning and implementing programs or services; experience working with digital conversion vendors; knowledge of or experience with digital preservation strategies; experience in writing grant proposals.",,"The University of Illinois Library conducts a variety of activities in support of digital humanities scholarship, including creation, delivery, curation and preservation of a wide variety of types of digital assets and tools. Reporting to the Technical Architect for Repositories and Scholarly Communication, the Digital Humanities Specialist will assist with the planning, implementation and ongoing production of these digital collections and scholarly initiatives, with particular emphasis on project design, digitization workflows, and content and delivery systems. The successful candidate will work across a number of humanities and Special Collections units and will be part of a team of IT personnel that develops and delivers repository and scholarly communication services. Examples of ongoing projects include a robust newspaper digitization program and a “triple-decker” nineteenth-century American novel digital conversion project, utilizing content management systems such as Olive, Archon, CONTENTdm, and locally developed databases. In addition, the successful candidate will contribute to the work of the Scholarly Commons in helping to articulate the relationship between new technologies and humanities scholarship to the community of humanists; in advising teaching faculty on the creation of digital objects and providing technical support for use of analytical tools; and in serving as an agent between content providers and the Library's repository. This position is expected to evolve in tandem with the Library's strategic goals and to experiment with new ways of supporting and enhancing the teaching, research and service missions of the University. The scope and responsibilities will shift in accordance with priorities established by the AUL for Information Technology Planning and Policy in consultation with IT staff and digital humanities stakeholders. As an Academic Professional employee, the Digital Humanities Specialist is expected to use “investigation time” to pursue areas of his or her interest, not directly in support of an immediate program need, in accordance with the University Library's policy on Investigation Time for Academic Professional Employees. Some investigations that originate in this manner may evolve into regular work assignments or production activities."
5,7/26/2011,"SUNY Geneseo seeks a service-oriented, versatile and dynamic librarian to provide leadership for organizing and accessing digital collections, serials, and providing knowledge base maintenance, licensing, and usage analysis of resources. This librarian will also play an integral role in shaping and implementing the Library's vision to support the creation of and access to scholarly research and publishing.","* Master's degree in information and/or library science from an ALA-accredited school or an ALA-approved foreign equivalent; * Experience with MARC bibliographic and authorities formats and cataloging and classification standards; * Experience with OCLC Connexion; * Knowledge of non-MARC metadata schemes and evolving standards;* Experience with the concepts and software/hardware applications used in organizing and presenting digital information; demonstrated ability to prioritize, plan, coordinate, and implement multiple projects; * Strong commitment to enhancing service through teamwork and responsiveness to faculty, students, and colleagues; * Demonstrated problem-solving and workflow-analysis skills, as well as an aptitude for complex, analytical work with attention to detail and organization; * Excellent organizational, interpersonal, communication and project management skills; * Commitment to providing high-quality public service within a flexible and continually evolving academic library environment.","* Experience with the Ex Libris ALEPH integrated library system; * Experience with MS Office including Access; with an understanding of SQL; * Experience with digital serials, knowledge bases (especially Serials Solutions) and electronic resource management systems; * A strong commitment to scholarly communication; * Experience with a journal publishing system, such as OJS. ",,"The Electronic Resources and Digital Scholarship Librarian provides leadership and technical expertise: * Plays a central role in developing digital collections and the provision of digital scholarship services, including the implementation and operation of tools to support e-research, teaching and learning, scholarly communications, and planning the development of a Digital Media Lab; * Effectively uses project management skills to work with faculty on projects and to collaborate across the library, CIT, Office of Sponsored Research, and others to provide innovative and effective service to digital scholarship projects; * Leads, coordinates and manages the examination, review, and disposition of new electronic resource opportunities; oversees the selection, acquisition, payment, and activation of electronic resources including license review and negotiation; and coordinates vendor communications or evaluations, including demos and trials; * Monitors and maintains the electronic resources budget in consultation with the Head of Technical Services; * Manages serials and database evaluations by compiling and analyzing usage data from multiple sources, including ILS and vendor COUNTER reports to make selection and deselection recommendations; * Establishes, maintains and troubleshoots access to electronic resources; * Catalogs and manages online resources and print serials holdings, including the coordination and design of metadata quality control for all digital projects and collections; * Recommends priorities, policies, and procedures for the identification, creation, conversion and preservation of digital content; * Participates in original cataloging of all formats and metadata creation activities in the library; * Applies current methods of organizing serials, electronic resources, and investigating and applying new methods for organizing information resources using established and emerging bibliographic control mechanisms and metadata standards; * Develops standards and procedures for authority control work; creates authority records for names, series, subjects and documents authority decisions as needed; * Additional duties; develops and coordinates usability studies related to digital collections; participates in grant proposal writing and budget planning for digital collections; assists with training and instruction regarding the creation and use of digital collections; keeps essential records and statistics and prepares reports as necessary; * Participates in the Library's liaison program, which may include the selection of information resources and instructional activities."
6,8/1/2011,"York University Libraries seeks a creative, motivated, innovative, and responsive librarian to provide leadership in the development of digital humanities resources at York, while serving as a member of the Scott Library Reference Department. 
In the twenty-first century, digital libraries are as essential to humanities scholarship as physical libraries have been in the past. Digital humanities is an evolving specialization in librarianship. The incumbent will work closely with researchers, students and other subject librarians and provide leadership in incorporating technologies into the research activities of the humanities community at York University. This librarian will work collaboratively to develop strategies and environments for disseminating library resources in support of humanities research; contribute to the processes of digital media production, practice, and analysis in the humanities; engage in scholarly communication initiatives; and liaise and collaborate with digital humanities researchers. The successful candidate will also participate in the development of the collection in an area(s) related to his or her academic background. The successful candidate will participate in teaching, reference, collection and liaison activities in the Libraries and elsewhere on campus, and be proactive in developing new programs and services. The chosen candidate will play a role in the ongoing development of information literacy initiatives; participate in special projects, such as assessment, and the development of web-based resources; participate in collegial processes of the Reference Department; serve on committees of the Libraries and of the University; and contribute to librarianship by carrying out professional research and scholarly work. Some evening and weekend work is required.","An ALA-accredited MLIS degree or equivalent with up to five years post-MLIS experience; * A strong educational background in the humanities; * A solid understanding of the research process and the ways in which new technologies are affecting the production, dissemination, and reception of texts in the humanities; * Demonstrated ability and interest in exploring and evaluating emerging technologies in support of digital humanities; * Understanding of scholarly communication and publishing issues and trends; * Demonstrated understanding of collection development and ability to liaise with faculty; * Demonstrated ability to provide reference, research instruction, and consultation in the humanities and social sciences; * Broad knowledge of print and digital information resources relevant to the social sciences and humanities; * Demonstrated understanding of the concepts, goals, and methods of information literacy instruction and an ability to teach in a variety of settings and formats; * Willingness to undertake work on library and university committees; * Willingness to contribute to the literature through professional development, research, and scholarship; * Expertise with current web technologies; * Demonstrated understanding of assessment strategies;  Evidence of leadership ability, professional initiative, and flexibility; * Excellent analytical, interpersonal, and communication skills; * Demonstrated ability to work effectively in a collegial setting; * Ability to work with a large and diverse clientele; Strong public service ethic and background.",,,
7,9/19/2011,Haverford College is seeking a Digital Scholarship Librarian. The Digital Scholarship Librarian serves as a member of the Digital Research and Resources affinity group. Creatively engages in support of faculty and students involved in digital scholarships.,"One of the following: M.S., M.L.S., or M.A. Demonstrated knowledge of emerging trends in digital scholarship. Proficiency in an academic discipline. Demonstrated experience in project management and facilitation of teamwork. Demonstrated proficiency in Web-page development and in the use of Web-authoring tools and experience in managing complex Web sites. Demonstrated experience with digital asset management (DAM) systems (i.e. CONTENTdm, EmbARK Collection Manager, DSpace, and/or alternative), programming and other relevant skills. Working knowledge of most common library metadata formats Demonstrates knowledge of key issues related to information access and management Demonstrated knowledge of current trends in information storage, search and retrieval and emerging technologies. Knowledge of current and emerging technologies in digital and Web-based library services At least 2 year's experience in academic or library services. Demonstrated experience in project management. Strong analytical skills; strong understanding of research methods. Experience with library technology, reference, instruction, and outreach services. Background in, knowledge of, and a record of achievement with digital scholarship and services. Self-directed and collaborative. Goal-oriented.","Experience with system administration and web servers. Experience developing and troubleshooting applications using scripting, programming and database languages. Intermediate to advanced knowledge of Web-related markup languages, features, and protocols including HTML, CSS, PHP etc.",,"Participates in the development of digital projects and collections by providing a full range of reference, instruction, and collection development/management, and metadata services for all areas of digital scholarship. Provides for the development, long term stewardship and access to the Library's local digital collections by working collaboratively with faculty, subject specialists, students, and college staff to identify, evaluate and accession materials of significant cultural, academic or historical value. Supports and serves as a resource to colleagues in developing digital projects. Contributes to and supports the digital and online presence of the Library through the investigation, implementation and enhancement of tools that assist with research, instruction and scholarship. Participates in Web-development team. Actively participates in and contributes to the Tri-College Technology Advisory Group. Reports to Coordinator for Digital Scholarship and Services. Specific Duties and Responsibilities: Provides strong reference services and support of faculty and students in the area of digital scholarship. Consults with faculty on digital projects to support their teaching and research. Develops digital collections through projects focused on digitizing, preserving and providing online access to audio, video, image, data and text-based content related to teaching, faculty scholarship and the cultural heritage of the college. Determines and implements technical best practices for digitizing, describing, providing access to, and archiving audio, video, image and text-based collections including conversion methods, data dictionaries, rules for description, file format and quality standards and storage methods; performs digitization process and supervises others in this work Coordinates with subject specialist librarians, IT staff, academic departments and college offices to identify and evaluate potential collections: define needs; determine workflows for submission, approval, and administration; develop metadata schemas; delineate copyright and access policies. Supports the integration of metadata across a variety of library and archive applications following standards and the rules for description of digital objects. Develops, implements and tests tools that support resource discovery, resource management and resource utilization. Provides leadership for the development and integration of technologies to enhance the library's research and instruction services Evaluates feasibility of proposed projects and initiatives within the local environment; ensures that assessment plans are developed as part of any new initiatives. Engages in assessment of user behavior and needs related to digital scholarship. Provides technical expertise for development of the library web site and contributes to the creation of content and development of tools to improve the usability of the website. Participates in ongoing digital repository work of the College and the Tri-College. Advises on library policy issues raised by digital resources such as copyright policy, intellectual freedom issues, fair use, e-privacy concerns or censorship of Internet content. Works closely with other technology support areas in the College to identify and collaborate on complementary efforts to support and assist faculty and students. Participates in development of Tri-College technology projects and working groups. Remains current with advances in information technology's impact on libraries and digital scholarship. Actively contributes to the profession. Familiarity with academic and scholarly research practices. Demonstrates initiative in developing projects."
8,10/18/2011,,"Master's degree from an ALA-accredited program; the ability to work flexibly and creatively in a changing environment; strong public serve philosophy; ability to interact positively and productively in a collegial academic environment with library colleagues, students, faculty and staff; Excellent interpersonal skills and the ability to work effectively with a diverse population of faculty, staff, students and community members; ability to meet standards for promotion and tenure leading to peer reviewed publications and service; evidence of excellent analytical, organizational, communication and time-management skills.","PhD in History; reference and library instruction experience in an academic library; familiarity with a wide range of electronic and print resources; Significant library experience working as a liaison, coordinator or consultant in history studies/programs; Demonstrated skill in using digital information resources in historical studies; and knowledge of principles in collection development.",,"The History and Digital Humanities Liaison Library works collaboratively with faculty, staff and students to provide research and instructional services in history; provides collection development; serves as a liaison to the History Department, and related studies; maintains regular contact with faculty and students to ascertain their information and research needs and to keep them aware of the development of history collections and services; serves as a resource with the instructional faculty teaching courses relating to history to provide library instruction; assists faculty in incorporating digital humanities resources into their teaching and research; maintains interdisciplinary connections with liaison librarians for instruction and collection building for history and related areas; participates in digital humanities projects."
9,11/1/2011,"The Rutgers University Libraries seek an experienced, innovative, and service-oriented librarian to fill the new position of Digital Humanities Librarian in the John Cotton Dana Library on the Newark Campus of Rutgers, The State University of New Jersey.","ALA-accredited Master's degree in Library and Information Science. Degree in a humanities discipline, or strong humanities reference experience. Knowledge of the research and instructional needs of humanities faculty. Experience in an academic library environment, including reference and public services. Knowledge of metadata schema (MARC, MODS, METS, EAD, TEI, or Dublin Core) and library applications of emerging technologies. Good communication and interpersonal skills. Skill in collaboration and teamwork in an academic environment. Strong service orientation and understanding of user needs. Awareness of national issues and trends in academic librarianship and scholarly communication, and the ability and desire to meet tenure and promotion requirements. ","Familiarity with literary and linguistic computing, including software for qualitative data analysis such as ATLAS.ti or NVivo, that will enhance the teaching and learning environment at Rutgers University. Experience with one or more of the following technologies: XML, XML Schema, XSLT, Dynamic HTML. Familiarity with data modeling or data visualization. Knowledge of database design and best practices in digitization.",,"Reporting to the Assistant Chancellor and Director of the John Cotton Dana Library and under the direction of the Head of Public Services for the Dana Library, the Digital Humanities Librarian will provide support to faculty and students through the integration of digital resources, methodologies, technologies, and analytical tools with traditional resources and approaches to research and instruction in the humanities. The position includes faculty liaison responsibilities, particularly with the Department of Arts, Culture and Media, for research assistance, information literacy, and collection development. The Digital Humanities Librarian will advise teaching faculty on the creation and curation of digital objects in a variety of image, audio, and video formats, fostering collaboration between scholars, technologists, and information specialists and will offer leadership in identifying, understanding, evaluating, and implementing emerging technologies based on their pedagogical, presentation, and research uses in the fields of visual and performing arts as well as writing and journalism. Will also work with the other Dana librarians to identify and shepherd digital projects involving Dana and the Institute of Jazz Studies collections from inception to completion. Participates as a member of the Public Services team, a team of library faculty committed to providing firstrate public services to a diverse academic community. Responsibilities include reference and research assistance, including participation in virtual reference services, collaborating with faculty in the development of course information literacy sessions, and collection development of resources that support the humanities. This is a tenure track appointment. As a member of a university-wide faculty, the Digital Humanities Librarian is expected to routinely participate in system-wide initiatives, committees, and task forces, and to actively pursue and participate in research, publication, and in professional associations."
10,3/9/2012,"Know a tech-savvy humanist ? or are one yourself ? who'd be great at this job? The Columbia University Libraries' Digital Humanities Center is looking for a Digital Scholarship Coordinator. The position reports to Barbara Rockenbach, Director of the Humanities and History Libraries, who can provide more information. The Columbia University Libraries invites nominations and applications for the position of Digital Scholarship Coordinator, Humanities and History Libraries division. The Digital Scholarship Coordinator will provide leadership in incorporating technologies and new research methodologies into the scholarly activities of the humanities community at Columbia University. The Digital Scholarship Coordinator will work with colleagues from across the University to develop outreach strategies and partnerships with faculty and students supporting digital research projects in the humanities. The Digital Scholarship Coordinator will engage technologies emerging as critical to research and teaching in the humanities to meet the evolving needs of faculty, students, and staff. The Digital Scholarship Coordinator will assist in planning for the programmatic and physical expansion of the Digital Humanities Center,http://library.columbia.edu/indiv/dhc.html, within Butler Library, including the creation of a graduate student fellows program focusing on the digital humanities. The Digital Scholarship Coordinator will also assist in the identification of funding opportunities and preparation of grants supporting the programmatic needs of the Digital Humanities Center. The Digital Scholarship Coordinator will work closely with colleagues from the Humanities and History Libraries, the Digital Humanities Librarian, and the Center for New Media Teaching and Learning,http://ccnmtl.columbia.edu, and the Center for Digital Research and Scholarship,http://cdrs.columbia.edu. The position will report to the Director of the Humanities & History Libraries division. Humanities and History Libraries division collections and services directly support the research and learning activities of the departments of Classics, English and Comparative Literature, Film, French & Romance Philology, History, Germanic Languages, Italian, Music, Religion, and Theater. The division also actively supports the Center for Ethnomusicology, the Computer Music Center, the Comparative Literature & Society Program, the Institute for Research in African-American Studies, and the Institute for Research on Women & Gender, and provides primary library and research support services for the Core Curriculum, Columbia College, the School of General Studies, and the broader undergraduate population, in partnership with other library divisions.",Experience in library technologies and applications.; Project management experience.,,,
